Date,TSLA_Price,Ownership_Pct,Shares_Millions,TSLA_Wealth_B,Other_Wealth_B,Total_Wealth_B,TSLA_Pct_of_Total
2027-04-30,312.9764007459599,12.091666666666667,402.65250000000003,126.02073020136264,379.4651096586344,505.48583985999704,24.93061531382684
2027-05-31,310.76363386355087,12.049999999999999,401.265,124.69856954225773,382.49101773092167,507.1895872731794,24.58618486485081
2027-06-30,316.7018035285751,12.008333333333333,399.8775,126.6419254404978,385.5410548191024,512.1829802596002,24.72591443321863
2027-07-31,318.45928906578416,11.966666666666667,398.49,126.90284209982434,388.6154133313376,515.518255431162,24.616556399867378
2027-08-31,326.87295816569434,11.924999999999999,397.10249999999996,129.80206886999264,391.71428721007817,521.5163560800709,24.889357228532162
2027-09-30,330.95796973580957,11.883333333333333,395.715,130.96503299400587,394.83787194429925,525.8029049383051,24.90762826983099
2027-10-31,329.60315805677317,11.841666666666667,394.32750000000004,129.97158930863222,397.98636458183256,527.9579538904648,24.617791691721987
2027-11-30,327.6792135932404,11.8,392.94,128.75827018932787,401.159963741797,529.9182339311249,24.297761795089126
2027-12-31,325.1847961481093,11.758333333333333,391.5525,127.32691989378256,404.3588696271281,531.6857895209107,23.947775622988495
2028-01-31,322.68350126065747,11.716666666666667,390.165,125.89980826936443,407.58328403720753,533.483092306572,23.59958733181645
2028-02-29,321.9276018373716,11.675,388.77750000000003,125.15820822332874,410.83341038059405,535.9916186039228,23.350777116501114
2028-03-31,322.2929551890558,11.633333333333333,387.39,124.85306791068834,414.1094536878544,538.9625215985427,23.16544525960336
2028-04-30,328.03038602267065,11.591666666666667,386.0025,126.62054908071592,417.4116206244979,544.0321697052138,23.274459881540793
2028-05-31,329.0737676903046,11.55,384.615,126.56670716020649,420.740119504014,547.3068266642205,23.125366064154125
2028-06-30,330.9888141279581,11.508333333333333,383.2275,126.84401576622207,424.09516030101275,550.9391760672348,23.02323401136071
2028-07-31,333.01344485698553,11.466666666666667,381.84000000000003,127.15785378419136,427.47695466447146,554.6348084486629,22.926410648451238
2028-08-31,337.6753434472678,11.425,380.4525,128.46942860287166,430.8857159310861,559.3551445339577,22.96741700836765
2028-09-30,340.28545767871293,11.383333333333335,379.06500000000005,128.99030701498134,434.32165913872933,563.3119661537107,22.898556175848004
2028-10-31,338.75421141350853,11.341666666666667,377.67749999999995,127.93984368112535,437.785001040016,565.7248447211414,22.61520682270721
2028-11-30,343.655484737142,11.3,376.29,129.31412235173917,441.27596011597683,570.590082467716,22.66322642561103
2028-12-31,344.54926658080973,11.258333333333335,374.90250000000003,129.172381414312,444.79475658984103,573.9671380041531,22.50518764253318
2029-01-31,347.2707259740652,11.216666666666667,373.515,129.71082521220296,448.3416124409285,578.0524376531314,22.439283491100472
2029-02-28,338.8721473026868,11.175,372.1275,126.10364499538059,451.91675141865363,578.0203964140342,21.816469760878984
2029-03-31,337.7842957668495,11.133333333333335,370.74000000000007,125.2301498126018,455.5203990566399,580.7505488692417,21.563500896629865
2029-04-30,341.99796401435947,11.091666666666667,369.35249999999996,126.31780300361369,459.15278268694783,585.4705856905615,21.57543113026286
2029-05-31,342.1347309074347,11.05,367.96500000000003,125.89360625835423,462.8141314544155,588.7077377127697,21.384737823809218
2029-06-30,344.9184583925748,11.008333333333335,366.57750000000004,126.4393461814041,466.5046763311141,592.9440225125182,21.323993729734365
2029-07-31,344.3219491457822,10.966666666666667,365.19,125.74293260854819,470.22465013091875,595.9675827394669,21.09895508587049
2029-08-31,350.7964550588519,10.925,363.8025,127.62062734154797,473.97428752419484,601.5949148657428,21.2137144427208
2029-09-30,356.58333717384096,10.883333333333333,362.41499999999996,129.23115014185757,477.7538250526024,606.9849751944599,21.290667054889745
2029-10-31,354.2778367950672,10.841666666666667,361.0275,127.90404172353111,481.5635011440178,609.4675428675489,20.986194132954434
2029-11-30,357.4693016668425,10.8,359.64,128.56025965146324,485.40355612757463,613.9638157790379,20.939387036732366
2029-12-31,357.3166282666034,10.758333333333333,358.2525,128.00957536808133,489.27423224882523,617.2838076169065,20.73755601370408
2030-01-31,358.5019926541217,10.716666666666667,356.86499999999995,127.93681360851312,493.17577368502145,621.1125872935346,20.59800690338463
2030-02-28,358.2475547207124,10.674999999999999,355.4775,127.34894513323205,497.1084265605191,624.4573716937512,20.393536998020583
2030-03-31,355.9050776826125,10.633333333333333,354.09,126.02242895663626,501.07243896230403,627.0948679189403,20.096230315972896
2030-04-30,354.6290366574823,10.591666666666667,352.70250000000004,125.07854780168566,505.06806095564275,630.1466087573284,19.84911861199174
2030-05-31,355.9812953182593,10.549999999999999,351.315,125.06156876473428,509.0955445998572,634.1571133645915,19.720912393650547
2030-06-30,361.0643617148794,10.508333333333333,349.9275,126.34634943398346,513.1551439642257,639.5014933982092,19.75700615843742
2030-07-31,363.5635176593813,10.466666666666667,348.54,126.71642844500077,517.2471151440108,643.9635435890116,19.677577978835608
2030-08-31,370.6122327131813,10.425,347.15250000000003,128.65896311696267,521.3717162766145,650.0306793935772,19.7927524339298
2030-09-30,370.6753556645728,10.383333333333333,345.765,128.16656435136102,525.5292075578627,653.6957719092237,19.60645454031773
2030-10-31,371.0153403521966,10.341666666666667,344.3775,127.76933537213858,529.7198512584197,657.4891866305583,19.432918133136067
2030-11-30,372.6644320188968,10.3,342.99,127.82017353816141,533.9439117403323,661.7640852784937,19.315066559462828
