Date,Mean,Median,P5,P10,P25,P75,P90,P95,Std
2025-12-31,497.9382753535466,497.858623467617,447.39658035079196,458.7093659145723,477.3031194765294,518.6944699012464,537.0710097144733,547.8057372709121,30.728646963812903
2026-01-31,501.98191630643055,500.3755091740995,452.7334524132951,463.64469432770306,480.73444184186127,521.8988338520144,542.7615715589873,555.4773353256222,31.5369140272076
2026-02-28,510.0439949227387,508.4989613740829,462.04165448067926,471.76437030880373,488.78278901141744,529.6189707505428,550.2051071420926,563.7216507643612,31.21524837909616
2026-03-31,516.6634850245263,515.1160768146683,466.6361435679733,477.344887282075,494.34491457011586,537.2242497005592,558.8662654596704,572.5506706164318,32.51107087114717
2026-04-30,520.0683826681314,518.270100300097,469.6883547567806,480.1498071257864,497.93194369212154,540.8051935864436,562.2242260466221,575.9603924149194,32.56622891283834
2026-05-31,525.5584942568285,523.9604201218732,474.9401162789224,485.55376589027054,503.0746067908891,546.0050442219584,568.1736323836373,581.7978915234175,32.78563385300128
2026-06-30,532.5050296403488,531.0200732213233,480.08661994067126,491.38753098149925,509.5919305050545,553.8087343005254,575.1435116286673,589.9845374229876,33.20766273479133
2026-07-31,540.300040248083,538.6809882130964,489.36210320405075,499.44836956034004,518.0078143457295,560.9907272175396,582.7771465073565,597.423910237555,33.13372025054249
2026-08-31,549.1969719908647,547.7656490932765,495.79247297946034,507.478498592485,525.92854421783,570.7028458865675,593.0235847643079,607.4541047772339,34.108782260570045
2026-09-30,557.2864079670085,555.8244201219223,503.3544290097897,514.7573683073368,533.661011503811,579.2571414785463,601.4587360758694,616.8861023767959,34.71637618285661
2026-10-31,563.8078299837086,562.0727728649192,508.0869713851851,520.2347024261128,539.0630560273462,585.9675444207669,609.6554198027213,625.2081931604075,35.93017194196447
2026-11-30,570.5268988674853,569.265287401826,513.4561509782253,525.8470024562404,545.8608725705596,593.7200562754451,617.7143497604393,632.0601312275537,36.118900027505724
2026-12-31,577.1887773956618,576.1442611852533,519.3462782379004,531.0215753625329,552.2314964719485,600.6625849543734,624.673009292529,639.942117567273,36.76288145035404
2027-01-31,583.522730686137,582.0820035834975,525.7099401731266,537.7761270055403,558.4747706748999,606.7599625206683,631.1134943186125,645.7081664862316,36.57548789889723
2027-02-28,591.2819865408227,589.8876100464138,531.5674414146533,544.4525669672186,566.0256383030548,615.5507256738019,638.9957254549723,654.0244008602616,37.378340078240406
2027-03-31,598.7307595879911,597.2688388084779,539.9502031399359,551.9703685950657,572.4008559219166,623.0591420172826,647.0388804291092,663.4598433122566,37.932868857448234
2027-04-30,602.8425917043224,601.2845586526469,543.108286116066,556.1071235099331,576.9527600275007,627.5242255035268,652.4001900594993,668.3827208466422,38.325103618113886
2027-05-31,609.7930780146708,608.6475000727527,549.0457871010719,561.5014840741156,583.8733549625272,634.1511823142882,659.0327761984364,675.1971308707205,38.556847277134715
2027-06-30,619.0678733065392,617.7278592464344,558.0760605594577,570.5685256111886,592.9765025705908,643.8019165746607,669.2568246038767,684.6934837553309,38.73636411984518
2027-07-31,627.8141191385728,626.4431208982849,565.3967555391075,577.803252264651,601.2550739664553,652.9728184763505,678.6144806961145,695.7345302941671,39.64298458005088
2027-08-31,637.1249771294599,635.2214902826382,573.3869202104157,587.1682004569336,610.1244254620008,663.4773803302751,689.4794881095726,705.9267232582881,40.50274217619867
2027-09-30,645.9516493047297,644.6072044211523,580.4903937648206,594.5652162173342,617.6276120266617,672.711304468534,699.0755866763552,715.8842028934796,41.17655206057691
2027-10-31,654.8247055192153,653.7083018091018,586.852990423007,601.8293345897484,626.8002352264416,681.9773842377518,709.3507181568361,725.6074149325726,42.362153434429096
2027-11-30,662.1611529790828,660.9327619642622,593.7339755776101,608.4749019496959,632.598072041129,689.9320483070534,717.4266023810865,735.2797944751,43.052968934551544
2027-12-31,669.1440527766573,667.9421397437047,600.8430398858848,615.1241156416963,639.3570073905012,697.6209365010407,724.7953965614266,741.8826669341255,43.4583767467083
2028-01-31,676.4892489577925,674.3525059260053,607.8357127528416,621.8629377333525,647.2134833727113,704.5641821803201,733.446142274697,750.6671206256289,43.741228902751374
2028-02-29,683.3713790671349,682.1807225762846,612.581802055164,627.4266412493257,652.7363811438522,711.6874890027814,741.0520255360268,757.8927870760202,44.33927484771125
2028-03-31,691.5447192819698,689.7891439553425,620.084581773944,636.286319178803,660.8831074688278,720.9889981651893,749.6303752554724,767.6815850621095,45.14752431899931
2028-04-30,701.2182086331601,699.7235842799803,628.2868820520255,643.1702281807028,669.6517076805163,730.8141585990211,760.5783223959158,781.1279474618922,46.38519531857519
2028-05-31,712.1921054259423,710.9770537678883,638.449681310016,653.4312887356789,680.3089936128519,741.750680918924,772.9334816603352,790.6042892223047,46.5724404646377
2028-06-30,720.4945252409467,719.6794483277026,645.7972340036404,660.7601414593066,688.5297608522719,751.5092023829637,781.0268127103459,800.2513894085204,47.52803270618177
2028-07-31,728.8015153431861,727.6567678046335,651.6535134556118,668.2223367134766,696.124117770524,760.3775720761289,790.785479697348,809.0779953682697,47.93896756309482
2028-08-31,739.093534495294,737.0989342982311,662.710446499764,678.4833856016196,705.6539361384207,770.596602443825,802.1631937106583,822.4777130650724,48.60312670226415
2028-09-30,750.456958990291,749.2283295484774,671.8117394397415,687.5376288938503,716.8608451467234,782.9275765651472,813.8726339042724,834.7746312233938,49.48135178917599
