Date,Prophet,Auto_ARIMA,ARIMA_111,Ensemble,Ensemble_Lower_95,Ensemble_Upper_95
2025-12-31,365.81277490096227,361.1108899531242,390.12820030799094,370.2459715209761,319.88368740420646,418.2252122008585
2026-01-31,370.5937280166367,375.09243112161187,386.7084556914093,376.19695602207116,316.32848656096013,435.9368898699698
2026-02-28,368.30758373500754,405.0368272641705,384.416200258981,385.1899731012079,319.93254180909406,451.39633372903364
2026-03-31,367.93629934134117,415.71194612958305,382.8797010297639,388.39362613933156,320.02265377754884,457.376744475393
2026-04-30,363.7334201026369,407.77245403726835,381.84978531967926,383.6761732840185,311.63050727313305,456.3760523527668
2026-05-31,371.3162820373093,399.3852983040697,381.15943263371037,383.6012253797757,308.1305351036914,458.42516748257685
2026-06-30,379.8770394047467,401.200247317801,380.6966891039653,387.54507459912037,309.6325991259133,465.6741277421901
2026-07-31,387.1089833994208,408.8772269231866,380.38651203263197,393.0472507910417,311.6181460400752,475.0543059110879
2026-08-31,406.6689045876536,414.3401733080472,380.17860028585096,402.7312725643407,317.77950455791995,486.0874157252516
2026-09-30,417.53228804103236,415.30966672301844,380.03923700453646,407.3811078206035,320.20792644322603,493.9325471059624
2026-10-31,417.5861101575646,414.9768925896702,379.9458217719705,407.26281191240304,318.585806860567,496.1493255555864
2026-11-30,423.7542475322564,416.3615186631022,379.8832055247564,410.19903192617744,319.6696415181728,500.9345645196036
2026-12-31,423.06565816162765,419.4321223655476,379.84123384297095,410.98781455333545,317.57238752628484,503.9701172918735
2027-01-31,423.2932835580048,422.51011840645276,379.81310021711056,412.1491299197381,315.6898013437717,506.82126783234713
2027-02-28,438.92966555731186,424.6702492480529,379.7942422426292,419.1550140204006,320.292183459168,517.1093522441681
2027-03-31,435.5875690935213,426.30831201973484,379.7816017389378,418.3883372790501,317.71090669415116,519.7904348933927
2027-04-30,421.19838015393526,428.1550800457012,379.77312880703676,413.2769122793287,312.9764007459599,514.9853861475593
2027-05-31,427.8543745320439,430.4052184656546,379.76744939925743,416.72543862561105,310.76363386355087,521.38835248376
