Date,TSLA_Price,Ownership_Pct,Shares_Millions,TSLA_Wealth_B,Other_Wealth_B,Total_Wealth_B,TSLA_Pct_of_Total
2028-09-30,605.1551107622421,12.8,426.24,257.9413144112981,775.9097760943401,1033.8510905056382,24.94956157420539
2028-10-31,607.4266268261408,12.8,426.24,258.9095254183743,795.5589596837805,1054.4684851021548,24.553557462961226
2028-11-30,614.092362234153,12.8,426.24,261.7507284786854,815.7057403233251,1077.4564688020105,24.293392453220658
2028-12-31,617.8523719962129,12.8,426.24,263.3533950396658,836.3627191891572,1099.716114228823,23.947398026839195
2029-01-31,625.8904197419583,12.8,426.24,266.7795325108123,857.5428165703677,1124.32234908118,23.728028952624683
2029-02-28,620.5181488317485,12.8,426.24,264.4896557580445,879.2592799501874,1143.7489357082318,23.124800163793577
2029-03-31,621.0821124918772,12.8,426.24,264.7300396285377,901.5256922918716,1166.2557319204093,22.699141567572088
2029-04-30,625.0417277166739,12.8,426.24,266.41778602195507,924.3559805344139,1190.773766556369,22.37350145799868
2029-05-31,632.4710751084026,12.8,426.24,269.58447105420555,947.764424303409,1217.3488953576145,22.145210143309907
2029-06-30,637.7760164861801,12.8,426.24,271.8456492670694,971.7656648425069,1243.6113141095764,21.859374081178284
2029-07-31,641.0170669856708,12.8,426.24,273.2271146319723,996.3747141710506,1269.601828803023,21.52069321525553
2029-08-31,651.5479451498347,12.8,426.24,277.71579614066553,1021.6069644736202,1299.3227606142857,21.37388834852464
2029-09-30,657.5260523446468,12.8,426.24,280.26390455138227,1047.4781977273592,1327.7421022787414,21.108308915592755
2029-10-31,660.725098298712,12.8,426.24,281.627465898843,1074.0045955731036,1355.6320614719466,20.774624170001676
2029-11-30,665.1327994333552,12.8,426.24,283.5062044304733,1101.2027494364888,1384.708953866962,20.474064505667346
2029-12-31,668.7719887472542,12.8,426.24,285.05737248362965,1129.0896709053623,1414.147043388992,20.157548241977157
2030-01-31,675.9377801696485,12.8,426.24,288.11171941951096,1157.6828023699961,1445.7945217895071,19.927570278998267
2030-02-28,676.2141070585317,12.8,426.24,288.2295009926286,1187.000027932753,1475.2295289253816,19.537942763563503
2030-03-31,677.2360772076312,12.8,426.24,288.6651055489807,1217.0596845940265,1505.7247901430073,19.17117307483292
2030-04-30,674.4620790188301,12.8,426.24,287.48271656098615,1247.8805737214586,1535.3632902824447,18.72408428549187
2030-05-31,683.9210652350964,12.8,426.24,291.5145148458075,1279.481972809602,1570.9964876554095,18.556025881437225
2030-06-30,689.372276207783,12.8,426.24,293.8380390108054,1311.8836475373844,1605.7216865481898,18.299437659241388
2030-07-31,691.4912648572108,12.8,426.24,294.74123673273755,1345.1058641309185,1639.8471008636561,17.973702339535595
2030-08-31,702.5778565942373,12.8,426.24,299.46678559472775,1379.1694020393873,1678.636187634115,17.83988620052323
2030-09-30,710.1529890928654,12.8,426.24,302.69561007094296,1414.0955669319349,1716.7911770028777,17.631475168656205
2030-10-31,713.2058246563581,12.8,426.24,303.9968507015261,1449.90620402369,1753.903054725216,17.332591438422078
2030-11-30,718.0410572640805,12.8,426.24,306.0578202482416,1486.6237117392598,1792.6815319875013,17.072626386066627
