Date,TSLA_Adj_Close,Net_Worth_Billions,Ownership_Percentage,TSLA_TSO_Millions,Musk_Shares_Millions,TSLA_Wealth_Billions,Other_Wealth_Billions,TSLA_Multiplier,Other_Wealth_Growth,TSLA_Diff,TSLA_Returns
2010-06-30,0.10591113567352295,2.4,29.0,120.0,34.8,0.0036857075214385983,2.396314292478561,651.1639857584892,0.0,,
2010-07-31,0.08862219651540121,2.4,29.0,120.0,34.8,0.003084052438735962,2.396915947561264,778.1968846754338,0.00025107519685185764,-0.01728893915812174,-0.1632400507102093
2010-08-31,0.08657779693603515,2.4,29.0,120.0,34.8,0.0030129073333740233,2.3969870926666257,796.5727898150603,2.9681935836745055e-05,-0.0020443995793660574,-0.02306870806356931
2010-09-30,0.09071113268534342,2.4,29.0,120.0,34.8,0.0031567474174499506,2.39684325258255,760.2762218900433,-6.0008701972424916e-05,0.00413333574930827,0.047741290441497775
2010-10-31,0.09706666469573974,2.4,29.0,120.0,34.8,0.003377919931411743,2.396622080068588,710.4964145781163,-9.227658659938243e-05,0.00635553201039632,0.07006341804199745
2010-11-30,0.1570222059885661,2.4,29.0,120.0,34.8,0.005464372768402099,2.3945356272315976,439.20868903345547,-0.0008705806619835332,0.05995554129282635,0.6176738582783281
2010-12-31,0.11835553646087646,2.4,29.0,120.0,34.8,0.004118772668838501,2.3958812273311616,582.6978551542159,0.0005619461595229858,-0.03866666952768963,-0.24624968987192308
2011-01-31,0.10711113611857097,2.4,29.0,120.0,34.8,0.0037274675369262694,2.396272532463074,643.8687865754235,0.00016332409447028517,-0.011244400342305491,-0.09500527544837278
2011-02-28,0.10617779890696208,2.4,29.0,120.0,34.8,0.00369498740196228,2.3963050125980376,649.5286015658519,1.3554441126384376e-05,-0.0009333372116088895,-0.00871372711961238
2011-03-31,0.12333333492279053,2.4,29.0,120.0,34.8,0.004292000055313111,2.395707999944687,559.1798623182717,-0.0002491388409289197,0.01715553601582845,0.16157366410336804
2011-04-30,0.12266666889190674,2.4,29.0,120.0,34.8,0.004268800077438354,2.3957311999225617,562.2188803557663,9.683975624508179e-06,-0.0006666660308837918,-0.005405400180747089
2011-05-31,0.1339555263519287,2.4,29.0,120.0,34.8,0.004661652317047117,2.395338347682953,514.8389104917758,-0.00016398009911189337,0.011288857460021964,0.09202872762420622
2011-06-30,0.12946666876475016,2.4,29.0,120.0,34.8,0.004505440073013306,2.395494559926987,532.6893624388714,6.521510590973278e-05,-0.004488857587178541,-0.0335100589682682
2011-07-31,0.12520000139872234,2.4,29.0,120.0,34.8,0.0043569600486755376,2.395643039951324,550.8427833139233,6.198303549553863e-05,-0.004266667366027821,-0.03295572062474739
2011-08-31,0.10995553334554035,2.4,29.0,120.0,34.8,0.003826452560424804,2.396173547439575,627.2127935994997,0.00022144680129887462,-0.015244468053181984,-0.12176092558204676
2011-09-30,0.10840000311533611,2.4,29.0,120.0,34.8,0.0037723201084136964,2.3962276798915862,636.2132404000114,2.259120674663606e-05,-0.001555530230204244,-0.014146902687615759
2011-10-31,0.13053332964579265,2.4,29.0,120.0,34.8,0.004542559871673584,2.395457440128326,528.3364595733517,-0.0003214384716960783,0.022133326530456535,0.2041819731952128
2011-11-30,0.14551113446553549,2.4,29.0,120.0,34.8,0.005063787479400636,2.3949362125205993,473.95353967028467,-0.00021759000973897713,0.01497780481974284,0.11474314537433239
2011-12-31,0.12693333625793457,2.0,29.0,120.0,34.8,0.004417280101776122,1.995582719898224,452.76730339011783,-0.16674911445848806,-0.018577798207600915,-0.12767269168670448
2012-01-31,0.12919999758402506,2.0,29.0,120.0,34.8,0.004496159915924071,1.9955038400840759,444.82403593266116,-3.95272084496856e-05,0.002266661326090491,0.017857100371840184
2012-02-29,0.14848887125651042,2.0,29.0,120.0,34.8,0.005167412719726562,1.9948325872802735,387.0408865088353,-0.0003363826169204831,0.019288873672485357,0.14929469065926937
2012-03-31,0.1655111312866211,2.0,29.0,120.0,34.8,0.005759787368774413,1.9942402126312255,347.2350404535102,-0.0002969545679296637,0.017022260030110675,0.11463660465642023
2012-04-30,0.14724446932474772,2.0,29.0,120.0,34.8,0.00512410753250122,1.9948758924674987,390.311871348208,0.00031875790701985096,-0.018266661961873376,-0.11036515683190151
2012-05-31,0.13111113707224528,2.0,29.0,120.0,34.8,0.004562667570114136,1.995437332429886,438.3400651627946,0.0002814410482914198,-0.016133332252502436,-0.10956834118448533
2012-06-30,0.13906666437784831,2.0,29.0,120.0,34.8,0.00483951992034912,1.995160480079651,413.264132169482,-0.00013874269351166202,0.007955527305603033,0.060677738621238264
2012-07-31,0.12186666329701741,2.0,29.0,120.0,34.8,0.004240959882736206,1.9957590401172638,471.59135084994693,0.00030000596121926293,-0.017200001080830904,-0.12368169724771694
2012-08-31,0.12675553162892658,2.0,29.0,120.0,34.8,0.004411092500686645,1.9955889074993134,453.4024166776538,-8.524707368495754e-05,0.004888868331909171,0.04011653556144279
2012-09-30,0.13013333479563396,2.0,29.0,120.0,34.8,0.004528640050888062,1.9954713599491118,441.633686388434,-5.890368991323669e-05,0.0033778031667073827,0.0266481716679301
2012-10-31,0.12502219676971435,2.0,29.0,120.0,34.8,0.004350772447586059,1.995649227552414,459.6884861467901,8.913563325041451e-05,-0.005111138025919615,-0.039276162667669534
2012-11-30,0.15031113624572753,2.0,29.0,120.0,34.8,0.0052308275413513175,1.9947691724586487,382.3486789020243,-0.00044098686363069906,0.025288939476013184,0.20227559688936148
2012-12-31,0.15053332646687825,2.4,28.0,120.0,33.6,0.00505791976928711,2.3949420802307126,474.5033748011129,0.20061113501109085,0.00022219022115071985,0.0014782019928816226
2013-01-31,0.16671113967895507,2.4,28.0,120.0,33.6,0.00560149429321289,2.394398505706787,428.45709990421403,-0.00022696771183428055,0.016177813212076814,0.10746997752445475
2013-02-28,0.15480000178019207,2.4,28.0,120.0,33.6,0.005201280059814455,2.3947987199401854,461.42487472316867,0.00016714604208312167,-0.011911137898762997,-0.0714477624092843
