Date,Prophet,Auto_ARIMA,ARIMA_111,Ensemble,Ensemble_Lower_95,Ensemble_Upper_95
2025-12-31,365.81277490096227,361.1108899531242,390.12820030799094,370.2459715209761,322.0643407536937,420.0561403901569
2026-01-31,370.5937280166367,375.09243112161187,386.7084556914093,376.19695602207116,314.21206141840827,435.27591711083124
2026-02-28,368.30758373500754,405.0368272641705,384.416200258981,385.1899731012079,318.18527881675453,452.39152735816316
2026-03-31,367.93629934134117,415.71194612958305,382.8797010297639,388.39362613933156,318.6216708502689,459.3612349290835
2026-04-30,363.7334201026369,407.77245403726835,381.84978531967926,383.6761732840185,312.1227543082794,457.0054171460002
2026-05-31,371.3162820373093,399.3852983040697,381.15943263371037,383.6012253797757,308.85618260092974,458.5609005278119
2026-06-30,379.8770394047467,401.200247317801,380.6966891039653,387.54507459912037,308.99593602520054,466.84836136394983
2026-07-31,387.1089833994208,408.8772269231866,380.38651203263197,393.0472507910417,309.47710936844055,473.45179094065566
2026-08-31,406.6689045876536,414.3401733080472,380.17860028585096,402.7312725643407,319.2687636878532,486.30123377160146
2026-09-30,417.53228804103236,415.30966672301844,380.03923700453646,407.3811078206035,322.0635492401044,493.9552892323052
2026-10-31,417.5861101575646,414.9768925896702,379.9458217719705,407.26281191240304,317.5014527041166,497.1402360505418
2026-11-30,423.7542475322564,416.3615186631022,379.8832055247564,410.19903192617744,319.113261538792,501.57404753468774
2026-12-31,423.06565816162765,419.4321223655476,379.84123384297095,410.98781455333545,317.7417956260551,505.99000795193234
2027-01-31,423.2932835580048,422.51011840645276,379.81310021711056,412.1491299197381,314.7875783994918,507.4335514298078
2027-02-28,438.92966555731186,424.6702492480529,379.7942422426292,419.1550140204006,321.3630596724212,517.8885012731889
2027-03-31,435.5875690935213,426.30831201973484,379.7816017389378,418.3883372790501,318.4660947230344,518.6379733940717
2027-04-30,421.19838015393526,428.1550800457012,379.77312880703676,413.2769122793287,309.26042755193663,515.0744310491422
2027-05-31,427.8543745320439,430.4052184656546,379.76744939925743,416.72543862561105,312.7091212823149,520.5964415148446
2027-06-30,439.76017871363126,432.7685197240374,379.7636424912,422.3139640116656,316.5324767642282,529.0363442787968
